p0,T,t,Fs_mean,Fs_std,Fs_sem,n_idx
3.8,0.03119342,0.5086534779386983,0.9619316940157956,0.0005995566843716317,0.0001895964708993035,10
3.8,0.03119342,0.5773881812384607,0.9521991636394146,0.0007370254290017821,0.00023306790491083514,10
3.8,0.03119342,0.6554110534835178,0.9403580609611261,0.0009064986743014122,0.00028666005067156075,10
3.8,0.03119342,0.7439772114957187,0.9261096540205627,0.001121411789572968,0.000354621545001604,10
3.8,0.03119342,0.8445113769184625,0.9091054356758906,0.0013952893862885262,0.0004412292455730254,10
3.8,0.03119342,0.9586307950358789,0.8890904314082807,0.001731402201528235,0.0005475174502659087,10
3.8,0.03119342,1.088171250628218,0.8657559133344831,0.002174104686256873,0.0006875122680217493,10
3.8,0.03119342,1.2352165993681232,0.8387886161513374,0.0027430838587766213,0.0008674392806577783,10
3.8,0.03119342,1.402132289815328,0.8079132743233369,0.0034648511279032667,0.001095682131757771,10
3.8,0.03119342,1.5916034152621248,0.7731110509764705,0.004252806123702263,0.0013448553798010947,10
3.8,0.03119342,1.80667790755158,0.7350063678363217,0.004990502784606533,0.0015781355468769329,10
3.8,0.03119342,2.0508155677068496,0.6954406042104914,0.005747588534503608,0.001817547082250067,10
3.8,0.03119342,2.3279437221040404,0.6571928451659307,0.006796388473701205,0.002149206744021119,10
3.8,0.03119342,2.642520399502972,0.6231487745415397,0.007629355328032998,0.0024126139915325345,10
3.8,0.03119342,2.9996060452346534,0.5962830960975987,0.007593340486631687,0.002401225098692747,10
3.8,0.03119342,3.404944926177538,0.580793792754229,0.006816036600066217,0.002155420027127943,10
3.8,0.03119342,3.865057536045609,0.5812414245984142,0.00656382731250868,0.002075664447554925,10
3.8,0.03119342,4.3873454874682505,0.6005598335277537,0.007258523285754579,0.0022953466032353685,10
3.8,0.03119342,4.980210578210885,0.6370628635206061,0.00804034662208976,0.002542580850304474,10
3.8,0.03119342,5.653189946897943,0.6823745010563118,0.008056570422630655,0.0025477112665058237,10
