model,p0,T,mean_A,std_A,skew_A,kurt_A,mean_P,std_P,skew_P,kurt_P,median_ell,f_ell_lt_T1,n_cells,n_ell,n_frames
vertex,3.815,0.00297748,0.9999999999991119,0.027493484637575408,-0.2576755970161144,0.09681193117913,3.831867306000031,0.035576788996798586,0.03483444479422684,0.030292096929347423,0.64247778705,0.0,32768,98304,8
voronoi,3.815,0.063,0.9999999999998597,0.0954878916225394,-0.03730733600198993,0.005000622915734443,3.907092178113769,0.1428490492793884,-0.059890142234144,0.04468617386418616,0.6625960844500001,0.0032755533854166665,32768,98304,8
voronoi,3.815,0.025,0.9999999999982909,0.06502395996753038,-0.04623527856990066,0.01948405263805819,3.8697381116054377,0.0936545293597182,-0.017857750670091578,-0.005882153272698254,0.659364261,0.002105712890625,32768,98304,8
voronoi,3.815,0.01,1.0000000000018037,0.044026771631225335,-0.1013145275574557,0.07852280865610783,3.8425659493774416,0.06008732266280434,-0.0031206576206996416,-0.03187427938555354,0.65476681215,0.0014241536458333333,32768,98304,8
voronoi,3.815,0.0063,1.0000000000003968,0.03668218327937822,-0.129155129221114,0.037637587728893696,3.8325672706729126,0.04902089535842344,-0.013317274542836446,0.014613063727408004,0.6529573654,0.000823974609375,32768,98304,8
voronoi,3.815,0.005,0.999999999998944,0.03316567840096513,-0.13342186052218152,0.07546332435449976,3.829194910602081,0.0435713696281127,-0.011141888031238178,-0.030830219008836757,0.6531143883,0.000762939453125,32768,98304,8
voronoi,3.815,0.00385,0.999999999998761,0.030251706736158606,-0.17788141957433856,0.023615478017742664,3.8256382290302424,0.038574090376171294,-0.019244937584552552,0.007472118773975023,0.6514688716,0.0006815592447916666,32768,98304,8
voronoi,3.815,0.0028,0.9999999999979492,0.026526905785876576,-0.170336731159607,-0.012631945462541871,3.821967735392792,0.03352853896246432,0.014317360134955714,0.009060158486977166,0.65094365715,0.0005594889322916666,32768,98304,8
voronoi,3.815,0.0022,1.0000000000011018,0.024185919504721414,-0.19181890869187918,-0.0037805233624030876,3.8199558218220218,0.029767849767734975,0.003348440023820974,-0.016787809991817504,0.65095303025,0.00054931640625,32768,98304,8
voronoi,3.815,0.0015,0.9999999999996124,0.020735308863639935,-0.19694065643395237,0.030757260032560296,3.8176356842312313,0.024982864139275703,0.008401544763570645,-0.012877690298680466,0.65086987795,0.0003662109375,32768,98304,8
voronoi,3.815,0.0012,1.0000000000008513,0.01885569176484622,-0.17070084830465887,-0.027998471089645705,3.8161673652504575,0.022567794403194463,0.009324623718794618,0.0037355449891252057,0.6475812358,0.00022379557291666666,32768,98304,8
voronoi,3.815,0.001,0.9999999999996978,0.01756488803984299,-0.19474542506936346,0.03362596907432769,3.8157057326293033,0.020745089789531594,0.01905004854892833,0.033551780697706146,0.6481867073500001,0.000244140625,32768,98304,8
voronoi,3.815,0.0008,0.999999999998758,0.01613540379550255,-0.14901957810972372,-0.02988617299490981,3.815239218855957,0.018797851735242562,-0.02503580097443467,-0.017025874135793817,0.6483414597,0.00019327799479166666,32768,98304,8
voronoi,3.815,0.00067,0.9999999999991058,0.015095572332269791,-0.15959280381289873,0.028816897061548552,3.8151338241033326,0.01719999895218932,0.012531761560750742,0.008376839693670313,0.6476906936,0.00014241536458333334,32768,98304,8
vertex,3.825,0.15936938,1.0000000000004883,0.17144242832618822,-0.028615125622990113,0.07226990386944898,4.140729196397553,0.25847880377165466,-0.04632225321794428,0.0213631247313959,0.6867465096500001,0.0,32768,98304,8
