p0,T,waitingTime,tauAlphaEst,tauBlock,tauAlpha,crossed,n,idx
3.8,0.16398067,5000.0,10.0,1000.0,8.836554228211794,1,4096,0
3.8,0.16398067,6000.0,10.0,1000.0,1.9822171524359773,1,4096,0
3.8,0.16398067,7000.0,10.0,1000.0,2.0841752668922053,1,4096,0
3.8,0.16398067,8000.0,10.0,1000.0,2.121292883583681,1,4096,0
3.8,0.16398067,9000.0,10.0,1000.0,8.753536777267389,1,4096,0
3.815,0.0060978,0.0,10000.0,10000.0,4249.150983991817,1,4096,0
3.815,0.0060978,100000.0,10000.0,10000.0,10559.157623509196,1,4096,0
3.815,0.0060978,10000.0,10000.0,10000.0,4878.268118179353,1,4096,0
3.815,0.0060978,110000.0,10000.0,10000.0,11492.385390282867,1,4096,0
3.815,0.0060978,120000.0,10000.0,10000.0,10437.724216620307,1,4096,0
3.815,0.0060978,130000.0,10000.0,10000.0,7551.365440099068,1,4096,0
3.815,0.0060978,140000.0,10000.0,10000.0,6764.559259108652,1,4096,0
3.815,0.0060978,20000.0,10000.0,10000.0,6582.328502773524,1,4096,0
3.815,0.0060978,30000.0,10000.0,10000.0,6995.218918565367,1,4096,0
3.815,0.0060978,40000.0,10000.0,10000.0,6507.644680858522,1,4096,0
3.815,0.0060978,50000.0,10000.0,10000.0,7289.411055209674,1,4096,0
3.815,0.0060978,60000.0,10000.0,10000.0,5559.389692701043,1,4096,0
3.815,0.0060978,70000.0,10000.0,10000.0,6209.9219062256725,1,4096,0
3.815,0.0060978,80000.0,10000.0,10000.0,8285.313443597937,1,4096,0
3.815,0.0060978,90000.0,10000.0,10000.0,8357.157668149279,1,4096,0
3.815,0.00702801,0.0,4641.59,4641.59,2502.0843938293924,1,4096,0
3.815,0.00702801,13925.0,4641.59,4641.59,3487.625619830899,1,4096,0
3.815,0.00702801,18566.0,4641.59,4641.59,3380.1975852071823,1,4096,0
3.815,0.00702801,23208.0,4641.59,4641.59,2782.928151384046,1,4096,0
3.815,0.00702801,27850.0,4641.59,4641.59,3337.9793631140465,1,4096,0
3.815,0.00702801,32491.0,4641.59,4641.59,3201.7508810057566,1,4096,0
3.815,0.00702801,37133.0,4641.59,4641.59,3632.9352014959945,1,4096,0
3.815,0.00702801,41774.0,4641.59,4641.59,4315.99391905782,1,4096,0
