p0,T,t1,tauAlpha,tauAlphaEst,waitingTime,kept
3.8,0.01950438,0.0015,1454.6491185013792,215.443,13000.0,1
3.8,0.02908965,0.0015,684.0063513212847,100.0,14000.0,1
3.8,0.04732642,0.0015,328.0750317811878,46.4159,14000.0,1
3.8,0.07997788,0.0015,148.81858879797826,21.5443,14000.0,1
3.8,0.10807693,0.0015,103.95721966261864,10.0,14000.0,1
3.8,0.00804331,0.0022,22828.46319494014,10000.0,120000.0,1
3.8,0.00857386,0.0022,11445.928601539787,4641.59,51057.0,1
3.8,0.00972763,0.0022,9514.065840933748,2154.43,21544.0,1
3.8,0.01138609,0.0022,3543.855588922639,1000.0,11000.0,1
3.8,0.0145279,0.0022,2173.9845154457275,464.159,12000.0,1
3.8,0.01950438,0.0022,987.2724464560257,215.443,14000.0,1
3.8,0.02908965,0.0022,473.15427642266314,100.0,14000.0,1
3.8,0.04732642,0.0022,207.06617718767885,46.4159,14000.0,1
3.8,0.07997788,0.0022,96.35676428025718,21.5443,14000.0,1
3.8,0.10807693,0.0022,63.79127896637186,10.0,14000.0,1
3.8,0.00804331,0.0032,21437.2489623952,10000.0,120000.0,1
3.8,0.00857386,0.0032,12536.255222350783,4641.59,55699.0,1
3.8,0.00972763,0.0032,5920.144436145426,2154.43,23699.0,1
3.8,0.01138609,0.0032,3318.3173651246275,1000.0,11000.0,1
3.8,0.0145279,0.0032,1591.5609811837098,464.159,13000.0,1
3.8,0.01950438,0.0032,725.4952710550109,215.443,14000.0,1
3.8,0.02908965,0.0032,296.630674353304,100.0,14000.0,1
3.8,0.04732642,0.0032,149.53038826070062,46.4159,14000.0,1
3.8,0.07997788,0.0032,72.1072709930135,21.5443,14000.0,1
3.8,0.10807693,0.0032,47.27500523534132,10.0,14000.0,1
3.8,0.00804331,0.0046,16278.849353803724,10000.0,130000.0,1
3.8,0.00857386,0.0046,10783.744813504005,4641.59,55699.0,1
3.8,0.00972763,0.0046,3965.4985272557765,2154.43,25853.0,1
3.8,0.01138609,0.0046,1937.6234914266577,1000.0,13000.0,1
3.8,0.0145279,0.0046,909.6698910713517,464.159,14000.0,1
3.8,0.01950438,0.0046,532.1770244294287,215.443,14000.0,1
3.8,0.02908965,0.0046,235.6726841232631,100.0,14000.0,1
3.8,0.04732642,0.0046,100.44906596573728,46.4159,14000.0,1
3.8,0.07997788,0.0046,50.259994082257215,21.5443,14000.0,1
3.8,0.10807693,0.0046,33.87377653138539,10.0,14000.0,1
3.8,0.00804331,0.0068,15738.223410944911,10000.0,130000.0,1
3.8,0.00857386,0.0068,6468.084886074572,4641.59,60341.0,1
3.8,0.00972763,0.0068,3740.9580019485084,2154.43,28007.0,1
3.8,0.01138609,0.0068,1484.3317837828274,1000.0,13000.0,1
3.8,0.0145279,0.0068,617.3259114707877,464.159,14000.0,1
3.8,0.01950438,0.0068,320.346737258868,215.443,14000.0,1
3.8,0.02908965,0.0068,147.87697607110871,100.0,14000.0,1
3.8,0.04732642,0.0068,72.1842138144929,46.4159,14000.0,1
3.8,0.07997788,0.0068,30.890406116585392,21.5443,14000.0,1
3.8,0.10807693,0.0068,19.36665170381911,10.0,14000.0,1
3.8,0.00804331,0.02,3967.5869006603566,10000.0,140000.0,1
3.8,0.00857386,0.02,2886.647480993279,4641.59,64982.0,1
3.8,0.00972763,0.02,1153.656827685295,2154.43,30162.0,1
3.8,0.01138609,0.02,563.6289886308475,1000.0,14000.0,1
3.8,0.0145279,0.02,251.55981044679987,464.159,14000.0,1
3.8,0.01950438,0.02,123.78927033494405,215.443,14000.0,1
3.8,0.02908965,0.02,61.07948596311668,100.0,14000.0,1
3.8,0.04732642,0.02,23.85357115858861,46.4159,14000.0,1
3.8,0.07997788,0.02,11.368862023764649,21.5443,14000.0,1
3.8,0.10807693,0.02,7.689286506395561,10.0,14000.0,1
3.8,0.00804331,0.03,1782.4534933568677,10000.0,140000.0,1
3.8,0.00857386,0.03,1163.7427911966247,4641.59,64982.0,1
3.8,0.00972763,0.03,609.2287893127893,2154.43,30162.0,1
3.8,0.01138609,0.03,405.9863581418154,1000.0,14000.0,1
3.8,0.0145279,0.03,199.3196775226727,464.159,14000.0,1
3.8,0.01950438,0.03,91.7665929625085,215.443,14000.0,1
3.8,0.02908965,0.03,40.02225884636034,100.0,14000.0,1
3.8,0.04732642,0.03,19.61841791296345,46.4159,14000.0,1
3.8,0.07997788,0.03,7.646757928334943,21.5443,14000.0,1
3.8,0.10807693,0.03,5.625056646570713,10.0,14000.0,1
3.8,0.00804331,0.04,9641.318488097375,10000.0,3000.0,1
3.8,0.00857386,0.04,3231.3811012825704,4641.59,3000.0,1
3.8,0.00972763,0.04,523.6427999671662,2154.43,1000.0,1
3.8,0.01138609,0.04,8499.304989187176,1000.0,6000.0,1
3.8,0.0145279,0.04,5862.310162931108,464.159,8000.0,1
3.8,0.01950438,0.04,2480.4594877935224,215.443,12000.0,1
3.8,0.02908965,0.04,498.0052888511664,100.0,14000.0,1
3.8,0.04732642,0.04,39.45054183491449,46.4159,14000.0,1
3.8,0.07997788,0.04,11.25789271510324,21.5443,14000.0,1
3.8,0.10807693,0.04,6.266724815562027,10.0,14000.0,1
3.8,0.0145279,0.05,9224.571494302518,464.159,1000.0,1
3.8,0.01950438,0.05,6210.784901078647,215.443,8000.0,1
3.8,0.02908965,0.05,2576.32392242089,100.0,11000.0,1
3.8,0.04732642,0.05,396.4875289596438,46.4159,14000.0,1
3.8,0.07997788,0.05,21.52178768431053,21.5443,14000.0,1
3.8,0.10807693,0.05,7.279101238087187,10.0,14000.0,1
3.8,0.00857386,0.06,13914.453986027105,4641.59,0.0,1
3.8,0.01950438,0.06,11688.913161120185,215.443,2000.0,1
3.8,0.02908965,0.06,3585.8650677812952,100.0,10000.0,1
3.8,0.04732642,0.06,1149.0211593873023,46.4159,13000.0,1
3.8,0.07997788,0.06,38.451231568330726,21.5443,14000.0,1
3.8,0.10807693,0.06,7.149356908650113,10.0,14000.0,1
3.8,0.00857386,0.07,12578.626471581636,4641.59,1000.0,1
3.8,0.00972763,0.07,12279.835113233463,2154.43,2000.0,1
